name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Jonathan Hall,juliadouglas@example.org,302-24-3901,Male 18-24,Caucasian or White,Koe no katachi,Kizumonogatari II: Fierce,Kizumonogatari: I Tekketsu-hen,Cars,Cars 2
Tony Steele,melissa97@example.net,720-93-4711,Male 14-17,Caucasian or White,ET,A Nightmare on Elm Street,Friday the 13th Part VI: Jason Lives,Freddy vs. Jason,The grudge
Jill Nelson,edwardgarcia@example.com,826-71-1387,Male 14-17,Caucasian or White,Fast and Furious,Twister,Real Steel, , 
Susan Bishop,michelle07@example.org,852-46-3631,Male 14-17,Caucasian or White,Tolkien,War Horse,Dunkirk,The Upside,Mortal Engines
Bryan Howard,amberbryant@example.org,561-65-1265,Male 18-24,African-American or Black,It,The Lion King,The Eye,Paranormal Activity,Spy Kids
Abigail Cunningham,nlamb@example.net,434-35-9818,Female 35-54,Caucasian or White,Fear and Loathing in Las Vegas,The Shining,All Dogs Go to Heaven,Super Troopers,Dazed and Confused
Robert Davidson,sean30@example.net,283-84-3147,Male 14-17,Caucasian or White,Hour of the Gun,13 Hours,Gridiron Gang,Dance Camp,Danger Close: The Battle of Long Tan
Joshua Brady,jordan83@example.net,778-44-0669,Male 18-24,Caucasian or White,2001: A Space Odyssey,Pulp Fiction,Requiem for a Dream,Anomalisa,Koyanisqatsi
Kathy Collins,ericcampbell@example.org,889-18-3545,Male 25-34,Other,Meet the Robinsons,Shrek Forever After,Chicken Little, , 
William Hawkins,brendataylor@example.com,435-44-6211,Male 18-24,Other,Moonrise Kingdom,Swiss Army Man,Moulin Rouge,Scott Pilgrim vs. the World,Kung Fu Panda
Charles Ross,louiswhite@example.net,854-62-9548,Male 14-17,Caucasian or White,Harry Potter and the Chamber of Secrets,The Dead Pool,Office Space,Spider,The Incredible Hulk
Olivia Sandoval,carriebryant@example.org,395-57-3129,Male 18-24,Asian or Pacific Islander,gfrtf,hgvt,gtft,gftg,ftr
Gary Casey,jgriffin@example.org,139-85-8418,Male 18-24,African-American or Black,Spider-Man,Moana,Frozen,Batman,Superman
Cristian Rowland,bradley49@example.org,770-21-3678,Male 18-24,African-American or Black,Pirates of the Caribbean: On Stranger Tides,Star Wars: Episode V - The Empire Strikes Back,Solo: A Star Wars Story,The Princess Bride,Harry potter and the goblet of fire
Nicole Solomon,robrien@example.net,723-07-6330,Male 14-17,Caucasian or White,Avengers: Endgame,Zombieland,22 Jump Street,Ted,Road Trip
Elizabeth Kline,evelynglover@example.com,368-86-8841,Male 18-24,Other,Fast and Furious,Finding Nemo,Mission: Impossible,"The 5,000 Fingers of Dr. T.",True Crime
Daniel Snyder,zanderson@example.org,176-23-4762,Male 18-24,Asian or Pacific Islander,Avengers: Infinity War,Avengers: Endgame,Spider-Man: Far from Home, , 
Ms. Elizabeth Wood,tanyaromero@example.net,115-15-9457,Male 18-24,African-American or Black,Spider-Man,Avengers: Endgame,Fight Club, , 
Taylor Jacobs,toni78@example.com,336-09-5732,Male 18-24,Caucasian or White,Zombieland,Forrest Gump,Thor: Ragnarok,Spider-Man: Homecoming, 
Jesse Dickson,bryancollins@example.net,085-23-9520,Male 14-17,African-American or Black,The Karate Kid,The Karate Kid Part II,Dragon: The Bruce Lee Story,Alvin and the Chipmunks,Godzilla
Shawn Schneider,emily78@example.net,344-63-8052,Male 18-24,Caucasian or White,How to Train Your Dragon 2,Shrek 2,The Lion King, , 
Joshua Wilson,anthony60@example.net,561-74-9514,Female 14-17,Caucasian or White,The Greatest Showman, , , , 
Derek Myers,samuellewis@example.com,125-02-4372,Male 18-24,Caucasian or White,Up,Des hommes et des dieux, , , 
Lisa Henderson,stephanie13@example.com,033-74-0242,Female 14-17,Caucasian or White,Lady and the Tramp,A Christmas Story, , , 
Carrie Shea,briancooper@example.org,525-83-1349,Male 14-17,Caucasian or White,Napoleon Dynamite,"O Brother, Where Art Thou?",Solo: A Star Wars Story,The Lost World: Jurassic Park, 
Belinda Scott,victoria59@example.org,228-86-7188,Female 14-17,Caucasian or White,Forrest Gump,The Bridges of Madison County, , , 
Rebecca Chavez,tracy92@example.com,040-87-9337,Male 14-17,Caucasian or White,Five Nights at Freddy's 4 the Movie,Friday the 13th,Captain America,Ironman, 
Albert Anderson,zpeterson@example.org,670-19-0685,Male 18-24,Other,It,It chapter two,Zombieland,Steven universe: the moviw,Warm Bodies
Mary Brooks,zhaley@example.com,297-05-4375,Female 14-17,Caucasian or White,Finding Nemo,Fantastic Beasts: The Crimes of Grindelwald,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,Fantastic Beasts and Where to Find Them
Paige Bennett,smcbride@example.net,855-54-9296,Male 18-24,African-American or Black,Black Hawk Down,1408,Spectral,Resident Evil,Land of the Dead
Christopher Snyder,sarahwatson@example.com,889-60-0468,Female 14-17,Caucasian or White,It,Superbad,Heathers,Avengers,Iron Man
Luis Castillo,bradleygutierrez@example.net,116-37-5148,Male 18-24,Caucasian or White,Edge of Tomorrow,The Thing,Wolf children,Abbott and Lou Costello Meet The Mummy,Your Name.
Tracy Brennan,shobbs@example.com,694-34-2239,Female 14-17,Caucasian or White,It,Mama, , , 
Christine Stevens,baldwindavid@example.org,622-79-1511,Male 18-24,Caucasian or White,Blade Runner,Treasure Planet,Inception,WALLÂ·E,Transformers
Scott Aguilar,fduncan@example.org,163-56-0743,Female 14-17,Caucasian or White,Lonesome Dove Church,It,Spirit: Stallion of the Cimarron,High School Musical 3: Senior Year,The Mask
Dr. Deborah Winters,jhowell@example.org,793-58-6187,Male 14-17,Caucasian or White,Men in Black,Deadpool,Terminator, , 
Madeline Evans,brittany13@example.net,044-26-4685,Female 14-17,Caucasian or White,Spider-Man: Far from Home,Balls of Fury,The Last Dragon,Meet the Robinsons,Agent Cody Banks
Todd Powell,mkim@example.net,345-36-0437,Male 14-17,African-American or Black,Boomrang,Home Alone,House Party,Friday,Purple Rain
Gary Richards,xford@example.com,205-53-2454,Male 18-24,Caucasian or White,Zombieland, , , , 
Matthew Sellers,corydouglas@example.net,596-50-7007,Male 18-24,Caucasian or White,Monkey Business,Monkey Trouble,Twelve Monkeys,Monkeybone,Funny monkey
Kathryn Page,robertwright@example.net,154-48-5924,Male 18-24,Caucasian or White,The Dark Knight,Avengers: Endgame,Mary and Max,Die Hard,The Big Short
Danny Ayers,lrodriguez@example.com,261-86-8709,Male 25-34,Caucasian or White,Requiem for a Dream,The Cabin in the Woods,Hostel: Part II,Spring Breakers,Saw III
Robert Hernandez,jchapman@example.net,742-63-7364,Male 25-34,Caucasian or White,Legally Blonde,Mean Girls,Step Brothers,Mystic River,Zoolander
Roy Perkins,stewartbenjamin@example.org,820-13-5026,Male 14-17,Asian or Pacific Islander,Aladdin, , , , 
Melissa Williams,silvacatherine@example.org,887-53-6503,Male 14-17,Caucasian or White,Monty Python and the Holy Grail,Willy Wonka & the Chocolate Factory,Pulp Fiction,Thir13en Ghosts,Breakfast at Tiffany's
Michael Nguyen,holmesjade@example.org,541-07-0982,Male 18-24,Caucasian or White,The Best of Me,American Pie,American Pie 2,Child's Play,Child's Play 2
Diana Anderson,robert23@example.com,204-70-6218,Male 14-17,American Indian or Alaska Native,How to Train Your Dragon: The Hidden World,Mighty Morphin Power Rangers: The Movie,Turbo: A Power Rangers Movie,Zombieland,Dragon Ball Z: Broly - The Legendary Super Saiyan
Aaron Cruz,zbecker@example.net,049-66-4698,Male 35-54,American Indian or Alaska Native,Et,Hush,Fifty Shades Darker,Fifty Shades Freed,Fifty Shades of Grey
Patrick Morrison,sherrygreen@example.com,714-93-8346,Female 14-17,Caucasian or White,How to eat fried worms,Annie,Hocus Pocus,Mary and Max,Halloween town
Thomas Wright,hernandezdavid@example.net,802-24-5992,Male 18-24,Caucasian or White,Harry Potter and the Goblet of Fire,Harry Potter and the Chamber of Secrets,Avengers: Endgame,The Lord of the Rings,Iron Man
Michael Brady,mcgeekristina@example.net,317-02-5922,Female 14-17,Caucasian or White,13 Going on 30,National Lampoon's Christmas Vacation,National Lampoon's European Vacation,Napoleon Dynamite,Mean Girls
Peter Weaver,jacksonamy@example.org,676-60-0558,Male 18-24,Caucasian or White,"Love, Simon", , , , 
Lee Kelley,jonathansmith@example.org,799-52-9348,Male 35-54,Caucasian or White,The Scorpion King: Book of Soulsit,Snake Eyes, , , 
Peter Howard,hawkinsmichael@example.com,232-42-5697,Male 25-34,African-American or Black,Saw,Bride of Chucky,Mean Girls,Bring It On,Goosebumps
Eduardo Valdez,williamgardner@example.com,201-90-4163,Female 14-17,Caucasian or White,The Grinch,Fast and Furious,Despicable Me,A Dog's Journey,Us
Kelly Wood,pearsonrichard@example.net,798-60-8418,Male 14-17,Caucasian or White,Star Wars: Episode II - Attack of the Clones,Avengers: Endgame,The SpongeBob Movie: Sponge Out of Water,Captain America,Captain Underpants: The First Epic Movie
James Aguilar,bross@example.com,274-69-6858,Male 18-24,Caucasian or White,Avengers: Endgame,Pirates of the Caribbean: At World's End,300,Avengers: Age of Ultron,The Rundown
Louis Porter,charris@example.org,205-38-1973,Male 18-24,African-American or Black,Wreck-It Ralph,The Lion King,Black Panther,Avengers: Infinity War,Avengers: Endgame
Timothy Smith,hnunez@example.net,292-11-3123,Male 18-24,African-American or Black,Mission: Impossible,Rocky II,Avengers: Endgame,Bride of Chucky,Creed II
Katrina Williams,tmason@example.net,676-96-1236,Female 18-24,African-American or Black,Stomp the Yard,You Got Served,Get Hard,Step Up All In,Four Brothers
Tara Craig,sescobar@example.net,224-48-0910,Male 25-34,Caucasian or White,Fifty Shades of Grey,The Notebook,The Longest Ride,Ponyo,Titanic
Christian Hunter,fcole@example.org,511-69-1629,Male 14-17,Caucasian or White,Atomic Blonde,Deadpool,Batman and Harley Quinn,Batman: The Killing Joke,Spider-Man
Sarah Johnson,elizabethparrish@example.com,251-61-8480,Female 14-17,Caucasian or White,Shrek,Scooby-Doo,Central Intelligence,Ride Along,National Lampoon's Christmas Vacation
Jordan Rice,tami96@example.org,874-03-3828,Male 18-24,African-American or Black,Forrest Gump,Black Panther,Coco,The Shawshank Redemption,Star Wars: Episode I - The Phantom Menace
Sara Shepard,nancywoods@example.net,045-92-9494,Male 18-24,African-American or Black,Friday,Fast and Furious,House Party,Bad Boys,Transformers
Christopher Lawson,psmith@example.com,037-86-9067,Male 35-54,Caucasian or White,Rambo: First Blood Part II,Star Wars: Episode V - The Empire Strikes Back,Indiana Jones and the Last Crusade,Top Gun,Stargate
Caitlin Parks,kevinerickson@example.net,885-68-0961,Female 14-17,Caucasian or White,Gone with the Wind,The Addams Family,Hocus Pocus,The Wizard of Oz,Little Big Man
Walter Flores,oliverkristen@example.com,233-42-3190,Female 14-17,Caucasian or White,The Smurfs 2,Aladdin,Charlie and the Chocolate Factory,Ice Castles,Harry Potter and the Chamber of Secrets
Anne Gutierrez,hernandeznicholas@example.com,722-63-3167,Female 14-17,Caucasian or White,Spider-Man: Far from Home,Frozen,Toy Story 4,Bohemian Rhapsody,Rocketman
Ryan Butler,andersondanielle@example.net,402-58-1854,Male 18-24,Caucasian or White,The Matrix,Yes Man,3:10 to Yuma,3 Idiots,Total Recall
William Ray,moorecameron@example.org,764-06-3386,Male 25-34,Caucasian or White,Resident Evil,Suicide Squad,Anchorman: The Legend of Ron Burgundy,Jurassic Park,Jurassic World
Kent Roman,hojulie@example.net,756-67-1509,Male 25-34,Caucasian or White,Avengers: Endgame,Need for Speed,Stir of Echoes,The Lord of the Rings,Lord of War
Joshua Carter,kylebrown@example.org,549-73-2114,Female 14-17,Caucasian or White,It,Home Alone,Frozen,Captain Marvel, 
Samantha Jordan,bwillis@example.com,408-48-2409,Male 14-17,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,Halloween,Halloween II
Shane Bender,bowmanamanda@example.com,300-81-2073,Male 14-17,Caucasian or White,Avengers: Infinity War,Avengers: Endgame,Captain America, , 
Sarah Garrison,brandihamilton@example.org,828-77-9072,Female 14-17,Caucasian or White,Cinderella, , , , 
Misty Pacheco,cristianhawkins@example.com,086-81-9122,Female 14-17,Caucasian or White,The Princess Bride,Spider-Man: Far from Home,Avengers: Endgame,Captain Marvel,Aladdin
Kathy Duncan,qmoore@example.com,176-68-0038,Female 14-17,Asian or Pacific Islander,Groundhog Day,Avengers: Endgame,Avatar,Avengers: Infinity War,Wonder Woman
Sara Kim,stevenvaughan@example.org,293-13-4303,Male 18-24,Caucasian or White,Bad Boys II,Wreck-It Ralph,Thor,Aquaman,Friday
Emily Burns,bsullivan@example.net,776-84-3331,Male 18-24,African-American or Black,Major Payne,Snakes on a Plane,Charlie and the Chocolate Factory,To All the Boys I've Loved Before,Reality high
Jessica Wright,walkerangela@example.net,171-41-6322,Male 18-24,Caucasian or White,Forrest Gump,King Kong,Braveheart,Die Hard,The Blues Brothers
Xavier Davis,mbenson@example.com,410-70-2820,Female 14-17,Caucasian or White,The notebook, , , , 
Eric Williams,hmiller@example.com,356-01-3201,Female 14-17,Caucasian or White,The Notebook,Spider-Man,Spider-Man: Far from Home,Happy Death Day,Happy Death Day 2U
Brittany Brown,rware@example.org,645-15-3377,Female 14-17,Caucasian or White,Fast and Furious,Boo 2! A Madea Halloween,A Madea Family Funeral, , 
Robert Cooke,ysmith@example.com,648-43-6625,Female 14-17,American Indian or Alaska Native,Grease 2,Grease,Savannah Smiles,Pretty Woman,All Dogs Go to Heaven
Martin Jackson,erinwilliams@example.org,036-93-1161,Male 18-24,Caucasian or White,Avengers: Endgame,Star Wars: Episode IV - A New Hope,Indiana Jones and the Last Crusade,Conan the Barbarian,King Arthur
Charlotte Smith,fishercharles@example.net,576-34-5128,Male 18-24,Caucasian or White,The Conjuring,Talladega Nights: The Ballad of Ricky Bobby,Bad Boys,American Sniper,The Interview
John Oconnell,andersonsteven@example.org,440-05-2178,Male 18-24,Caucasian or White,Interstellar,2001: A Space Odyssey,Avengers: Infinity War,Avengers: Endgame,The Martian
Amanda Patton,dixonelizabeth@example.org,557-14-9227,Male 18-24,Caucasian or White,The Lord of the Rings,The Revenant,The Secret Life of Walter Mitty,Django Unchained,"O Brother, Where Art Thou?"
Kelly Kirk,sreyes@example.net,113-97-3110,Male 18-24,Caucasian or White,Space Jam,Fear and Loathing in Las Vegas,Saving Private Ryan,Godzilla,Interstellar
Reginald Hughes,richard12@example.com,061-62-6575,Female 14-17,Caucasian or White,The Lion King,Scary Movie,It,Rocketman,Ghostbusters II
Austin Burns,jose04@example.com,077-11-9541,Male 18-24,Caucasian or White,Deadpool,Deadpool 2,Space Jam,Air Bud,Air Bud: Golden Receiver
Brandon King,ashley08@example.org,276-85-4727,Female 14-17,Caucasian or White,The Greatest Showman, , , , 
Susan Lambert,deanbrown@example.net,286-33-0943,Male 14-17,American Indian or Alaska Native,Avengers: Endgame,Star Wars: Episode V - The Empire Strikes Back,Transformers,Dragon Ball Z: Broly - The Legendary Super Saiyan,Angry Birds
Kenneth Ball,lisakhan@example.org,679-81-9485,Female 14-17,Caucasian or White,The Greatest Showman,Beaches,High School Musical 1,High School Musical 2,High School Musical 3: Senior Year
Rachel Cook,hhill@example.org,769-46-0825,Female 14-17,Caucasian or White,Guardians of the Galaxy,Pirates of the Caribbean: The Curse of the Black Pearl,Rampage,Beetlejuice,Goonies
Frank Gross,merritteric@example.org,303-54-3602,Female 14-17,Caucasian or White,High School Musical,Pitch Perfect,Blockers,ET,Jumanji
Sarah Daugherty,huffbrandon@example.net,180-57-5157,Female 14-17,Caucasian or White,Deadpool,Deadpool 2,Fast and Furious,Breaking bad El Camno,Bill and ted
Joy Jones,kmiller@example.org,850-76-0431,Female 14-17,Caucasian or White,Maze Runner,Lion King,Coyote Lake, , 
Kimberly Hess,cody34@example.org,325-48-6438,Female 14-17,Caucasian or White,Inside Out,Frozen,Moana,Beauty and the Beast,Coco
Heather Scott,harperkathryn@example.net,536-84-9785,Male 18-24,Other,Patch Adams,Rugrats in Paris: The Movie,The SpongeBob SquarePants Movie, , 
Mark Riley,sylvia86@example.org,829-55-9756,Male 18-24,African-American or Black,Spider-Man: Far from Home,Deadpool 2,Avengers: Endgame,Bad Boys II,A Bronx Tale
Vanessa Ward,hpark@example.org,233-68-4598,Male 25-34,African-American or Black,The Hunger Games,The Maze Runner,The Twilight Saga: Breaking Dawn - Part 2,The Duff,Scream
Deanna Lynch,powellteresa@example.net,626-91-0107,Male 25-34,African-American or Black,The Hate U Give,Baby Boy,Friday,Secret Obsession,Vampires
Cindy Dixon,gonzalesveronica@example.org,651-15-4954,Male 18-24,Asian or Pacific Islander,Bridge to Terabithia,Guardians of the Galaxy Vol. 2,Harry Potter and the Half-Blood Prince,Jumanji: Welcome to the Jungle,Spider-Man: Homecoming
Jessica Valdez,uortiz@example.com,784-40-4911,Male 18-24,Other,Avengers: Endgame,Us,Get Out,Up,The Raid: Redemption
Mary Murphy,whitedavid@example.com,836-32-6087,Male 35-54,Asian or Pacific Islander,Tall girl,Twilight,Dumb and Dumber,Avengers: Endgame,Avengers: Infinity War
Kelsey Christensen,nshea@example.com,028-34-5312,Male 25-34,Caucasian or White,Interstellar,Avengers: Infinity War,Avengers: Endgame,Up,Invater zim
Aaron Robinson,rebeccarodriguez@example.com,730-05-6460,Male 25-34,Other,The Twilight Saga: Breaking Dawn - Part 2,Astro Boy,The Pursuit of Happyness,Bad Boys,Blood Diamond
Sarah Shaw,benjamin75@example.org,867-14-5294,Male 18-24,Other,It,Men in Black,Avatar,Home Alone, 
Bill Macias,kstark@example.net,751-67-5367,Male 18-24,Caucasian or White,Pokemon: The First Movie - Mewtwo Strikes Back,Aquaman,Spider-Man, , 
Brenda Ware,smithronald@example.org,230-87-2414,Male 18-24,Caucasian or White,Hellboy,The Lord of the Rings,Idiocracy,Disturbia,Stardust
Mr. John Garcia II,katie79@example.net,586-91-1916,Male 18-24,Caucasian or White,An American Haunting,Saw II,The congering,The Hills Have Eyes II,Saw III
Jason Johnson,kaitlinali@example.net,738-56-4434,Male 18-24,Caucasian or White,Saving Private Ryan,Black Hawk Down,Triple Frontier,Das Boot,Spectral
Kimberly Avila,gromero@example.org,136-07-9259,Male 18-24,African-American or Black,Avatar,Monster,"Monsters, Inc.",Monsters University,Cool Cat Saves the Kids
Jeffery Cortez,robertsolomon@example.com,421-67-7253,Male 18-24,African-American or Black,The Shining,The Conjuring,The Dark Knight,The Prestige,The Babadook
Peter Ryan,regina40@example.com,059-19-8133,Male 18-24,Caucasian or White,, , , , 
Stacy Vaughn,gcalhoun@example.com,542-47-9625,Male 18-24,Other,Friday,Stomp the Yard,Transformers,American Gangster,Fast and Furious
Brandon Bradshaw,khanwilliam@example.org,051-33-4398,Male 18-24,Caucasian or White,The Chronicles of Narnia: Prince Caspian,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",The Chronicles of Narnia: The Voyage of the Dawn Treader,Manikarnika: The Queen of Jhansi,War Arrow
Heather Nguyen,felicia58@example.com,485-71-8131,Male 18-24,Caucasian or White,Perfect Blue,Paprika,Get Out,Your Name.,Neon Genesis Evangelion: The End of Evangelion
Tonya Wiley,brittany81@example.org,416-72-5917,Male 25-34,Caucasian or White,Tron,John Wick, , , 
Curtis Vasquez,nicholebender@example.org,700-09-7366,Male 18-24,Caucasian or White,Saving Private Ryan,Matilda,Hocus Pocus,The Hills Have Eyes,Us
Monica Ware,harrisonvictoria@example.net,668-05-1069,Male 18-24,African-American or Black,Blended,Good Burger,Eight Crazy Nights,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Friday
Robert Castro,michelecopeland@example.com,873-19-7561,Male 18-24,Caucasian or White,Spider-Man: Into the Spider-Verse,In Your Eyes,To All the Boys I've Loved Before,A Silent Voice,Coraline
Christopher Williams,qfigueroa@example.com,099-49-0438,Male 25-34,African-American or Black,Big,Forrest Gump,Jack,Shottas,The Wolf of Wall Street
Melissa Scott,nicole08@example.com,719-64-1970,Male 18-24,Other,Spider-Man: Into the Spider-Verse,Re-Animator,Spider-Man: Far from Home,Spider-Man: Homecoming,Endgame
Mr. Luis Herman,natashakirby@example.org,828-91-8199,Male 18-24,Other,Avengers: Endgame,Avengers: Age of Ultron,Captain Marvel,Captain America: Civil War,The Hurt Locker
Joshua Lopez,madison86@example.org,586-49-6792,Male 25-34,Caucasian or White,Shaun of the Dead,Petey Wheatstraw,Dogma, , 
Jessica Forbes,millerjay@example.com,643-49-5882,Male 18-24,Caucasian or White,Invincible,Dawn of the Dead,John Wick: Chapter 2,Uncle Buck,Tommy Boy
Jeffrey King,brendaday@example.com,767-46-1425,Male 18-24,Caucasian or White,The Shawshank Redemption,The Green Mile,Forrest Gump,The Terminator,RoboCop
Jacob Schneider,ymoyer@example.net,536-70-3936,Male 18-24,African-American or Black,Iron Man,Iron Man 2,The Avengers,The Fifth Element,The SpongeBob SquarePants Movie
Samantha Collins,anthony88@example.com,461-45-6213,Male 18-24,Asian or Pacific Islander,Spider-Man: Far from Home,Avengers: Endgame,Fantastic Beasts and Where to Find Them, , 
Joseph Dixon,keithmorales@example.net,083-13-1992,Male 18-24,Caucasian or White,The Dark Knight,Spider-Man: Far from Home,Sherlock Holmes,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode VIII - The Last Jedi
Tracy Nguyen,raymondwilliams@example.com,748-83-6542,Male 18-24,Asian or Pacific Islander,2 Fast 2 Furious,Big Fat Liar,Joker,Pineapple Express,Shaun of the Dead
Katie Carlson,nlandry@example.org,175-66-3669,Male 18-24,Caucasian or White,El camino,Click,The Mask,Super Mario Bros.,Avengers: Infinity War
Nicolas Roberts,carolinejohnson@example.net,884-92-5686,Male 18-24,Caucasian or White,The Little Hours,Good Kill,Mine,Any Gun Can Play, 
Carlos Vaughn,crawforddebra@example.com,528-99-0583,Male 18-24,African-American or Black,Rush Hour 3,Friday,How High,Snakes on a Plane,Takers
Christina Santiago,zlawson@example.net,109-10-7863,Male 18-24,Caucasian or White,Blade Runner,The Matrix,The Terminator,Day of the Dead,John Wick
Amanda Fields,linda32@example.org,800-74-6928,Male 18-24,Caucasian or White,Top Secret!,A Far Off Place,Addams Family Values,Vice,Near Dark
Jeffrey Mann,nmadden@example.net,250-69-7676,Male 18-24,African-American or Black,Spider-Man: Far from Home,Avengers: Endgame, , , 
Matthew Ford,jwilson@example.com,346-97-5174,Male 35-54,African-American or Black,Black Panther,Avengers: Endgame,Avengers: Age of Ultron,Avengers: Infinity War,The Avengers
Seth Nielsen,sarahwebster@example.net,758-01-6855,Male 18-24,African-American or Black,paid in full,I Am Legend,Beats,Insidious,The Conjuring
David Phillips,aaron73@example.net,192-62-7180,Male 18-24,Caucasian or White,Circle,Clown,Terrifier,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones
Crystal Rose,bruce12@example.org,168-63-6553,Male 18-24,Caucasian or White,Get Hard,Baywatch,Terminator 2: Judgment Day,"I, Frankenstein",Hot Dog... The Movie
Joel Sutton,zacharywilliams@example.org,558-92-0897,Male 18-24,African-American or Black,Hugo,Avengers: Endgame,Spider-Man: Far from Home,Ratatouille,Miss Peregrine's Home for Peculiar Children
Timothy Stevenson,kentronald@example.com,577-62-4852,Male 18-24,Caucasian or White,Interstellar,Frozen,Bumblebee,The Fox and the Hound,The Land Before Time
Madison Berry,sgomez@example.com,007-90-5421,Male 18-24,African-American or Black,The Purge,The Purge: Anarchy,The Purge: Election Year,The 13th Warrior,"The 5,000 Fingers of Dr. T."
Brandon Avery,nnguyen@example.com,816-32-7346,Male 18-24,Caucasian or White,Interstellar,The Sandlot,Toy Story 4, , 
Tiffany Williams,tarachavez@example.net,084-78-5249,Male 14-17,Caucasian or White,Terminator Genisys,Cars,Cars 2,Cars 3,Match Point
Terry Smith,jamessmith@example.com,691-43-0674,Male 18-24,African-American or Black,Lean on Me, , , , 
Miss Jamie Torres DDS,rebeccahoward@example.net,181-90-8926,Male 18-24,African-American or Black,The Wolf of Wall Street,The Big Short,Pirates of the Caribbean: Dead Man's Chest,Independence Day,American Sniper
Chelsea Nguyen,rochakimberly@example.org,204-28-1117,Male 18-24,Caucasian or White,The avengers endgame,Deadpool,The bounty hunter,Fast and furious,Joker
Kayla Castaneda,kduran@example.org,342-17-0868,Male 18-24,Caucasian or White,Iron Man,Avengers: Endgame,Avengers: Age of Ultron,Avengers: Infinity War,Captain America: Civil War
John Rios,kellygarcia@example.com,515-79-9710,Male 18-24,African-American or Black,Wild Hogs,Home Alone,How to Train Your Dragon: The Hidden World,Looney Tunes: Back in Action,SuperFly
Aaron Brown,boonejohn@example.net,540-75-1177,Male 35-54,Caucasian or White,Avengers: Endgame,The Lord of the Rings: The Return of the King,Pitch Perfect,Legally Blonde,Final Destination
Paul Medina,ljones@example.net,482-77-4170,Male 25-34,Asian or Pacific Islander,Star Wars: Episode I - The Phantom Menace,Taken,Frozen,Jurassic Park,Avengers: Infinity War
Michelle Fisher,cheryl17@example.net,355-83-2848,Male 35-54,Caucasian or White,The Godfather,A Bronx Tale,Goodfellas,Donnie Brasco,Rudy
Sarah Vargas,andrew92@example.net,502-82-8948,Male 18-24,Caucasian or White,Joker,Scarface,The Shawshank Redemption,Forrest Gump, 
Tiffany Mejia,ronnienorman@example.com,846-53-0838,Male 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Runaway Train,Sid and Nancy,Ferris Bueller's Day Off,Star Wars: Episode IV - A New Hope
Emily Lee,adambrown@example.net,814-65-0150,Male 35-54,Other,Rambo: First Blood Part II,Jurassic Park,Jason x,Gremlins 2: The New Batch,Star Wars: Episode IV - A New Hope
Taylor Perez,klopez@example.com,672-95-4359,Male 35-54,Caucasian or White,Monty Python and the Holy Grail,John Wick,Cool Hand Luke,Avengers: Endgame,Caddyshack
Thomas King,gmartin@example.net,099-94-4705,Male 35-54,Asian or Pacific Islander,Transformers,Big Trouble in Little China,The Monster Squad,Bloodsport,The Dark Knight
Kimberly Houston,raymond41@example.org,735-06-1099,Male 35-54,Caucasian or White,Titanic,A Star Is Born,Home Alone 3,40-Love,Dismissed
Tiffany Cook,staceylewis@example.org,356-84-2873,Male 35-54,Caucasian or White,The Princess Bride,Terminator Genisys,Highlander, , 
Billy Weiss,qwilson@example.org,490-19-6855,Male 35-54,Caucasian or White,The Hunt for Red October,Raiders of the Lost Ark,Star Wars: Episode IV - A New Hope,Interstellar,Indiana Jones and the Last Crusade
Loretta Clark,olsonbrooke@example.com,290-68-4314,Male 35-54,Asian or Pacific Islander,Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi,The Bourne Identity,The Bourne Supremacy
Maria Harrison,millermichael@example.com,735-36-9835,Male 25-34,Caucasian or White,The Blues Brothers,Fast Times at Ridgemont High,Back to the Future, , 
Angela Gomez,cody17@example.com,010-42-6367,Male 35-54,African-American or Black,The Godfather,The Godfather: Part II,The Dark Knight,Ocean's Eleven,Star Wars: Episode V - The Empire Strikes Back
Gerald Coleman,michaelwalker@example.com,193-71-1332,Male 35-54,Caucasian or White,cadena perpetua,Sommeren '92,The Seventh Seal,Armageddon,terremoto
Scott Petty,cjohnson@example.org,310-89-5325,Male 35-54,Caucasian or White,Glass,Hellboy,Captain Marvel,Booksmart,Godzilla
Jocelyn Ferguson,amy85@example.com,464-41-6655,Male 35-54,Caucasian or White,Bruce Almighty,Harry Potter and the Sorcerer's Stone,National Lampoon's Christmas Vacation,Star Wars: episode I,Raiders of the Lost Ark
Patricia Williams,aliciafrazier@example.org,030-27-0094,Male 35-54,Caucasian or White,Bohemian Rhapsody,The Lion King,Saturday Night Fever, , 
